#Acceptor              DonorH          Donor   Frames         Frac      AvgDist       AvgAng
ULL_18@O2           ULL_5@H27        ULL_5@N       10       0.0000       2.8794     162.0548
ULL_13@O1          ULL_16@H27       ULL_16@N        8       0.0000       2.9209     161.9105
ULL_16@O2          ULL_17@H27       ULL_17@N        7       0.0000       2.8667     166.3787
ULL_16@O3          ULL_17@H27       ULL_17@N        6       0.0000       2.8893     161.6870
ULL_8@O2              ULL_1@H       ULL_1@N1        6       0.0000       2.8954     164.4148
ALP_20@O2          ALP_20@H13      ALP_20@N1        4       0.0000       2.6456     137.3106
ULL_14@O1            ULL_17@H      ULL_17@N1        4       0.0000       2.8367     162.3258
ULL_7@O1             ULL_14@H      ULL_14@N1        4       0.0000       2.8488     144.1902
ULL_17@O3            ULL_13@H      ULL_13@N1        4       0.0000       2.8576     156.3872
ULL_8@O1             ULL_18@H      ULL_18@N1        4       0.0000       2.8787     163.0539
ULL_3@O3             ULL_10@H      ULL_10@N1        4       0.0000       2.9318     146.1232
ALP_20@O2            ULL_18@H      ULL_18@N1        4       0.0000       2.9547     137.3635
ULL_9@O1            ULL_3@H27        ULL_3@N        3       0.0000       2.9078     154.5126
ULL_13@O           ULL_10@H27       ULL_10@N        3       0.0000       2.9233     165.5288
ULL_18@O              ULL_8@H       ULL_8@N1        3       0.0000       2.9240     141.8324
ULL_13@O           ULL_16@H27       ULL_16@N        3       0.0000       2.9427     158.8723
ULL_17@O             ULL_16@H      ULL_16@N1        3       0.0000       2.9509     170.3965
ULL_11@O3          ULL_14@H27       ULL_14@N        2       0.0000       2.8441     147.5321
ULL_17@O           ULL_16@H27       ULL_16@N        2       0.0000       2.8527     170.2521
ULL_9@O3             ULL_13@H      ULL_13@N1        2       0.0000       2.8722     159.2751
ULL_3@O2             ULL_10@H      ULL_10@N1        2       0.0000       2.9311     151.4003
ULL_12@O3             ULL_5@H       ULL_5@N1        2       0.0000       2.9489     142.2204
ALP_20@O1          ULL_18@H27       ULL_18@N        2       0.0000       2.9667     139.0899
ULL_14@O1          ALP_20@H14      ALP_20@N1        2       0.0000       2.9710     163.3511
ULL_14@N             ULL_14@H      ULL_14@N1        1       0.0000       2.6232     136.0766
ULL_8@O2            ULL_6@H27        ULL_6@N        1       0.0000       2.8430     135.5037
ULL_2@O3            ULL_9@H27        ULL_9@N        1       0.0000       2.8813     144.9337
ULL_15@O1           ULL_8@H27        ULL_8@N        1       0.0000       2.8866     138.3267
ULL_7@O2              ULL_4@H       ULL_4@N1        1       0.0000       2.9085     135.7666
ULL_12@O2             ULL_5@H       ULL_5@N1        1       0.0000       2.9317     148.0403
ULL_12@O3           ULL_6@H27        ULL_6@N        1       0.0000       2.9695     158.1862
ULL_8@O2              ULL_6@H       ULL_6@N1        1       0.0000       2.9812     166.4091
ULL_16@O1            ULL_19@H      ULL_19@N1        1       0.0000       2.9840     156.3971
ULL_7@O2            ULL_4@H27        ULL_4@N        1       0.0000       2.9897     149.0460
ULL_7@O               ULL_4@H       ULL_4@N1        1       0.0000       2.9899     161.9484
